longitude,latitude,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpxtpx_TrackPointExtension
-77.046627,38.854603,0,0,213,15,,,,,,,,,,,,,,,,,,,,,,,        
-77.046644,38.854522,0,0,214,14.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.046713,38.85412,0,0,215,13.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.04673,38.85396,0,0,216,13.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.046752,38.853362,0,0,217,13.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.046775,38.852935,0,0,218,12.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.046816,38.852795,0,0,219,13,,,,,,,,,,,,,,,,,,,,,,,        
-77.046925,38.852561,0,0,220,14.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.04695,38.852514,0,0,221,15,,,,,,,,,,,,,,,,,,,,,,,        
-77.047011,38.852384,0,0,222,15.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.047068,38.852242,0,0,223,16.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.047087,38.852192,0,0,224,17,,,,,,,,,,,,,,,,,,,,,,,        
-77.047166,38.851877,0,0,225,17.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.047173,38.851722,0,0,226,18,,,,,,,,,,,,,,,,,,,,,,,        
-77.047169,38.851689,0,0,227,18.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.047163,38.851656,0,0,228,18.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.047165,38.851483,0,0,229,19,,,,,,,,,,,,,,,,,,,,,,,        
-77.047174,38.85144,0,0,230,19,,,,,,,,,,,,,,,,,,,,,,,        
-77.047229,38.85125,0,0,231,18.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.04733,38.850949,0,0,232,17.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.047365,38.850897,0,0,233,17.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.047406,38.85084,0,0,234,16.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.047492,38.850712,0,0,235,15.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.047525,38.850647,0,0,236,15.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.047649,38.850253,0,0,237,14.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.047781,38.849728,0,0,238,16,,,,,,,,,,,,,,,,,,,,,,,        
-77.04791,38.849242,0,0,239,14.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.047978,38.849047,0,0,240,14.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.04797,38.848952,0,0,241,14.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.047959,38.848795,0,0,242,12.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.047907,38.848587,0,0,243,11.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.047898,38.848515,0,0,244,11.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.04791,38.848244,0,0,245,11.2,,,,,,,,,,,,,,,,,,,,,,,        
